抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字B1,数字B2
2013-04-05,7,10,12,17,23,28,34,3,15
2013-04-12,20,24,29,31,33,34,35,12,32
2013-04-19,2,7,8,11,14,23,31,5,15
2013-04-26,12,13,22,23,24,28,29,2,14
2013-05-03,1,3,4,5,16,21,28,22,31
2013-05-10,5,15,19,23,30,34,35,6,25
2013-05-17,1,3,5,7,27,29,33,6,15
2013-05-24,2,21,28,29,30,32,36,6,8
2013-05-31,3,4,15,23,27,30,36,13,35
2013-06-07,1,2,3,6,24,28,30,16,20
2013-06-14,9,15,26,29,32,34,36,14,35
2013-06-21,11,12,14,19,26,27,33,24,32
2013-06-28,6,10,16,21,27,28,35,15,34
2013-07-05,4,7,8,9,24,28,30,34,36
2013-07-12,2,10,14,17,23,25,35,8,29
2013-07-19,5,6,9,13,16,21,23,8,34
2013-07-26,2,3,5,22,34,36,37,7,15
2013-08-02,12,17,21,24,29,31,36,20,26
2013-08-09,2,14,19,20,21,22,31,1,15
2013-08-16,2,5,13,20,21,23,28,11,22
2013-08-23,1,9,13,15,25,30,33,19,28
2013-08-30,2,4,8,9,15,23,25,3,10
2013-09-06,4,8,11,25,28,29,30,14,32
2013-09-13,4,5,8,10,16,19,33,2,29
2013-09-20,1,6,11,16,17,18,21,10,24
2013-09-27,11,13,16,18,26,31,36,21,27
2013-10-04,1,10,11,14,17,18,28,25,26
2013-10-11,6,7,12,15,19,35,37,1,11
2013-10-18,2,3,16,17,24,26,28,15,31
2013-10-25,6,8,13,22,26,32,36,16,34
2013-11-01,9,12,13,19,23,33,34,20,32
2013-11-08,3,8,15,18,27,29,37,31,34
2013-11-15,1,4,17,24,29,33,36,19,30
2013-11-22,4,6,7,23,24,32,35,8,27
2013-11-29,1,16,18,19,25,30,34,26,36
2013-12-06,5,6,10,11,20,28,36,25,37
2013-12-13,7,8,10,13,14,19,37,29,33
2013-12-20,4,14,19,22,24,29,34,8,31
2013-12-27,7,13,19,23,25,26,30,1,18
2014-01-10,2,6,11,23,26,31,34,7,20
2014-01-17,2,3,8,15,34,35,36,25,28
2014-01-24,2,15,16,17,23,31,33,8,26
2014-01-31,4,6,7,8,24,31,37,5,13
2014-02-07,3,4,6,15,27,28,29,1,14
2014-02-14,1,2,9,18,21,27,33,25,31
2014-02-21,2,5,6,15,23,27,30,4,35
2014-02-28,2,9,11,14,20,21,36,6,15
2014-03-07,3,5,24,26,29,30,34,8,35
2014-03-14,8,11,12,17,24,26,27,14,21
2014-03-21,3,4,7,8,15,24,29,11,16
2014-03-28,1,4,5,8,20,23,35,15,33
2014-04-04,8,10,22,24,26,32,34,5,9
2014-04-11,1,4,14,16,20,33,36,12,30
2014-04-18,1,3,5,10,18,22,23,7,35
2014-04-25,4,12,14,17,23,30,36,13,33
2014-05-02,4,23,26,27,28,32,36,29,30
2014-05-09,5,6,12,16,17,20,33,8,32
2014-05-16,1,6,7,8,23,32,33,11,34
2014-05-23,5,8,12,13,21,30,35,27,34
2014-05-30,3,7,9,15,16,23,34,5,33
2014-06-06,5,10,11,21,28,31,37,13,14
2014-06-13,4,10,12,15,27,32,33,9,16
2014-06-20,4,8,19,24,28,30,32,12,37
2014-06-27,4,15,16,17,20,29,36,19,26
2014-07-04,4,7,12,22,23,24,28,25,34
2014-07-11,1,11,25,28,31,33,37,3,20
2014-07-18,7,11,15,17,18,25,35,6,33
2014-07-25,2,7,13,15,24,34,35,12,23
2014-08-01,13,17,20,22,28,29,37,11,12
2014-08-08,9,10,18,21,27,33,35,4,11
2014-08-15,1,6,13,29,34,35,37,2,15
2014-08-22,11,12,18,19,20,31,32,9,21
2014-08-29,12,16,23,25,27,30,32,28,33
2014-09-05,5,13,14,15,16,24,31,9,11
2014-09-12,4,9,15,17,19,35,37,10,20
2014-09-19,4,13,18,29,32,34,36,24,33
2014-09-26,3,10,23,25,26,28,30,15,29
2014-10-03,5,6,10,14,24,28,36,7,20
2014-10-10,2,4,7,9,21,29,37,6,36
2014-10-17,2,5,10,18,21,24,27,25,34
2014-10-24,1,3,10,18,28,31,35,9,21
2014-10-31,1,3,16,20,25,27,34,18,37
2014-11-07,1,11,21,26,28,32,35,18,22
2014-11-14,8,16,23,28,29,35,36,12,37
2014-11-21,6,7,10,11,22,26,35,14,23
2014-11-28,3,10,20,21,22,26,30,24,35
2014-12-05,8,9,12,18,20,28,31,13,15
2014-12-12,3,4,10,14,25,29,30,18,19
2014-12-19,1,3,11,26,28,34,36,17,20
2014-12-26,2,8,9,13,14,18,37,11,25
2015-01-09,1,5,7,14,15,25,35,18,24
2015-01-16,4,5,15,25,26,29,32,11,27
2015-01-23,2,5,11,14,17,30,32,31,37
2015-01-30,13,19,20,27,28,29,30,26,36
2015-02-06,1,8,13,14,18,30,34,26,36
2015-02-13,9,11,14,21,22,23,24,10,36
2015-02-20,7,13,14,16,22,24,35,1,29
2015-02-27,3,9,11,13,19,25,33,10,30
2015-03-06,13,17,22,24,27,28,35,11,19
2015-03-13,1,2,11,16,25,35,36,9,14
2015-03-20,11,12,21,23,28,36,37,3,16
2015-03-27,1,4,8,27,28,29,31,13,25
2015-04-03,2,3,11,12,22,35,36,30,34
2015-04-10,7,9,11,15,16,22,37,12,13
2015-04-17,3,15,19,20,26,28,33,17,21
2015-04-24,6,10,12,19,21,22,30,1,11
2015-05-01,3,8,9,13,17,27,33,29,31
2015-05-08,2,6,7,8,28,30,36,18,21
2015-05-15,6,17,20,21,24,30,32,7,23
2015-05-22,4,12,22,30,31,35,36,19,37
2015-05-29,7,8,9,24,28,30,33,1,34
2015-06-05,6,7,10,15,27,35,36,13,20
2015-06-12,4,6,7,9,15,17,37,14,20
2015-06-19,8,13,26,27,28,29,37,4,12
2015-06-26,6,8,13,14,20,25,27,24,26
2015-07-03,9,14,23,27,28,31,32,3,20
2015-07-10,9,10,20,28,31,34,37,23,26
2015-07-17,5,8,9,24,27,28,30,16,20
2015-07-24,3,6,8,14,15,25,36,24,35
2015-07-31,2,16,18,26,32,35,37,9,36
2015-08-07,2,4,13,16,21,30,37,19,29
2015-08-14,2,16,18,26,27,34,35,5,12
2015-08-21,1,3,5,8,29,34,36,23,28
2015-08-28,1,2,15,17,18,22,36,6,27
2015-09-04,1,6,11,14,19,28,35,18,21
2015-09-11,4,10,13,16,17,21,27,1,18
2015-09-18,10,12,15,23,28,30,35,6,25
2015-09-25,2,4,8,23,26,27,32,3,35
2015-10-02,5,7,11,19,24,27,30,29,35
2015-10-09,1,15,20,23,25,31,32,5,24
2015-10-16,3,4,12,17,32,34,36,23,31
2015-10-23,7,10,14,16,20,30,31,35,37
2015-10-30,3,7,13,15,17,21,30,14,27
2015-11-06,4,9,20,28,30,34,35,12,29
2015-11-13,8,9,13,14,24,32,34,3,4
2015-11-20,10,17,24,27,30,33,37,18,31
2015-11-27,13,19,21,25,27,32,35,16,20
2015-12-04,2,5,17,20,21,32,33,30,35
2015-12-11,9,16,18,21,23,34,35,4,36
2015-12-18,3,11,12,13,17,26,35,1,33
2015-12-25,2,10,18,30,31,32,36,21,29
2016-01-08,6,12,14,18,21,27,28,1,33
2016-01-15,1,3,8,14,28,29,33,4,31
2016-01-22,2,9,13,18,22,32,36,17,26
2016-01-29,10,12,18,28,29,30,35,4,19
2016-02-05,4,10,25,27,28,33,34,15,35
2016-02-12,1,5,7,12,15,24,25,8,14
2016-02-19,1,9,11,16,20,30,34,12,33
2016-02-26,1,4,15,19,22,23,31,12,32
2016-03-04,6,7,14,20,27,31,34,11,24
2016-03-11,9,10,13,15,21,22,24,4,8
2016-03-18,8,12,17,21,23,24,31,6,7
2016-03-25,7,9,10,16,20,28,37,2,33
2016-04-01,2,4,19,21,24,28,35,3,13
2016-04-08,2,9,13,18,22,24,26,10,37
2016-04-15,4,9,16,19,22,33,34,17,36
2016-04-22,5,9,16,26,28,29,32,1,37
2016-04-29,3,6,7,30,32,36,37,5,20
2016-05-06,10,14,17,21,23,27,31,16,24
2016-05-13,1,2,8,24,32,36,37,23,33
2016-05-20,8,14,17,18,20,22,34,4,30
2016-05-27,2,7,8,12,14,23,27,6,10
2016-06-03,1,2,6,16,28,30,31,3,7
2016-06-10,3,13,20,23,31,35,36,2,11
2016-06-17,9,11,14,15,16,18,27,6,20
2016-06-24,14,20,27,29,30,31,37,23,34
2016-07-01,1,3,5,7,10,26,36,19,37
2016-07-08,3,9,12,14,19,20,36,2,5
2016-07-15,1,5,10,20,21,28,30,25,26
2016-07-22,3,5,6,9,27,32,36,12,24
2016-07-29,1,2,6,21,23,27,28,11,16
2016-08-05,5,20,21,27,30,31,36,9,26
2016-08-12,7,9,19,22,24,27,30,4,28
2016-08-19,10,13,14,15,23,31,32,4,29
2016-08-26,6,17,21,31,33,35,37,14,18
2016-09-02,1,11,12,17,22,30,35,15,16
2016-09-09,9,15,19,23,25,34,36,2,35
2016-09-16,6,9,11,15,26,34,36,13,37
2016-09-23,4,9,12,13,22,26,36,5,33
2016-09-30,1,8,11,21,23,25,28,5,37
2016-10-07,7,8,10,13,19,23,24,15,27
2016-10-14,1,7,10,11,20,23,30,3,37
2016-10-21,6,15,20,26,33,34,37,19,29
2016-10-28,7,14,18,22,23,26,34,2,32
2016-11-04,1,2,4,16,26,29,34,11,12
2016-11-11,5,14,16,19,31,33,37,21,28
2016-11-18,4,6,10,23,24,32,36,15,31
2016-11-25,6,15,19,25,26,30,31,14,18
2016-12-02,3,7,8,10,18,23,35,1,19
2016-12-09,2,11,12,18,21,33,36,8,34
2016-12-16,8,15,21,24,26,27,29,7,30
2016-12-23,12,13,14,19,25,33,34,3,22
2016-12-30,4,6,20,21,22,24,31,9,10
2017-01-06,3,6,27,30,31,32,36,14,23
2017-01-13,4,7,12,20,23,24,31,26,35
2017-01-20,7,13,15,25,30,32,37,8,14
2017-01-27,6,8,10,12,16,21,28,14,23
2017-02-03,18,21,31,32,33,36,37,5,25
2017-02-10,1,9,17,20,22,28,29,13,16
2017-02-17,13,14,17,21,27,28,34,1,11
2017-02-24,8,11,17,24,28,31,32,12,34
2017-03-03,3,7,11,16,22,34,37,29,32
2017-03-10,6,13,17,22,32,33,36,12,28
2017-03-17,5,19,20,21,30,34,36,7,12
2017-03-24,4,5,19,31,35,36,37,27,32
2017-03-31,1,6,7,11,27,35,36,22,26
2017-04-07,4,5,10,13,28,32,33,19,26
2017-04-14,4,13,16,18,22,26,33,27,29
2017-04-21,3,4,6,13,22,31,36,28,34
2017-04-28,2,4,6,11,15,19,36,23,34
2017-05-05,7,15,22,25,31,32,35,29,36
2017-05-12,4,6,10,19,20,24,29,1,27
2017-05-19,5,13,15,18,19,24,35,20,23
2017-05-26,2,6,9,12,31,36,37,3,22
2017-06-02,11,12,13,21,29,36,37,7,9
2017-06-09,9,14,22,24,25,36,37,8,28
2017-06-16,4,6,26,27,28,35,36,24,34
2017-06-23,15,16,17,21,26,29,30,10,34
2017-06-30,6,9,13,14,21,25,31,2,4
2017-07-07,7,9,11,18,25,28,35,20,27
2017-07-14,1,2,9,11,17,30,35,13,36
2017-07-21,3,9,18,21,23,27,29,35,37
2017-07-28,10,13,19,21,26,33,34,24,25
2017-08-04,2,4,7,10,12,29,34,1,21
2017-08-11,13,15,17,18,20,21,26,25,29
2017-08-18,12,17,21,24,26,30,32,10,22
2017-08-25,2,3,7,9,22,23,26,29,30
2017-09-01,6,11,14,21,24,28,31,22,36
2017-09-08,2,3,9,30,33,36,37,1,32
2017-09-15,3,5,8,15,22,25,27,18,31
2017-09-22,4,15,18,24,25,34,36,10,26
2017-09-29,2,4,7,9,15,35,37,10,23
2017-10-06,3,13,17,25,26,27,29,8,37
2017-10-13,7,14,15,16,23,25,30,5,34
2017-10-20,2,9,13,18,21,33,34,3,11
2017-10-27,19,22,23,34,35,36,37,10,30
2017-11-03,3,4,7,19,20,21,29,8,33
2017-11-10,3,21,26,33,34,35,37,23,31
2017-11-17,8,13,17,21,23,28,37,1,14
2017-11-24,9,12,14,24,29,31,35,5,30
2017-12-01,5,11,12,19,21,26,28,4,20
2017-12-08,1,5,13,17,31,32,35,19,24
2017-12-15,6,9,13,18,20,22,30,11,14
2017-12-22,2,9,17,22,32,34,36,11,12
2017-12-29,2,8,9,11,24,26,27,7,36
2018-01-05,3,6,9,19,23,25,31,21,36
2018-01-12,10,12,13,16,34,35,36,11,37
2018-01-19,1,5,6,22,25,27,31,12,18
2018-01-26,9,20,28,29,31,34,37,5,25
2018-02-02,5,9,10,13,26,30,34,18,23
2018-02-09,1,15,20,26,28,34,37,23,30
2018-02-16,8,23,24,25,27,30,31,11,17
2018-02-23,6,7,9,12,15,17,24,26,29
2018-03-02,1,12,14,18,23,24,31,7,26
2018-03-09,1,4,11,13,15,21,32,5,10
2018-03-16,14,21,24,27,30,33,37,19,20
2018-03-23,5,15,16,26,27,32,35,23,28
2018-03-30,1,3,11,20,23,32,35,25,26
2018-04-06,5,6,15,19,22,29,32,4,31
2018-04-13,4,8,12,23,29,31,34,5,6
2018-04-20,4,14,15,17,21,23,26,7,8
2018-04-27,2,6,7,9,19,23,36,5,15
2018-05-04,1,5,11,16,27,35,36,6,14
2018-05-11,8,13,15,17,21,26,29,4,24
2018-05-18,12,13,15,19,21,24,36,10,37
2018-05-25,6,11,15,17,20,27,32,16,22
2018-06-01,8,13,18,20,23,25,26,6,28
2018-06-08,4,5,9,15,29,31,33,26,27
2018-06-15,1,9,15,24,31,33,36,2,26
2018-06-22,1,2,11,13,15,24,25,26,28
2018-06-29,1,9,15,16,19,32,35,14,31
2018-07-06,2,5,8,15,18,26,31,19,25
2018-07-13,13,15,21,23,26,32,34,5,9
2018-07-20,9,14,21,23,25,26,37,7,29
2018-07-27,8,9,15,19,24,25,35,34,37
2018-08-03,3,6,12,17,22,34,35,2,33
2018-08-10,6,7,9,11,21,23,25,1,22
2018-08-17,6,9,14,21,23,33,36,27,28
2018-08-24,7,11,15,17,19,23,31,9,37
2018-08-31,4,9,10,11,24,32,35,2,37
2018-09-07,1,2,17,19,20,22,26,30,36
2018-09-14,10,17,18,25,29,35,36,7,14
2018-09-21,13,14,15,17,23,29,31,10,19
2018-09-28,6,7,10,25,29,30,33,1,31
2018-10-05,11,15,21,26,30,34,35,4,36
2018-10-12,4,5,14,17,18,29,37,27,31
2018-10-19,2,7,10,20,24,29,34,4,8
2018-10-26,1,8,9,16,27,32,37,17,31
2018-11-02,2,7,10,12,16,17,34,23,25
2018-11-09,3,13,22,26,31,32,37,29,35
2018-11-16,1,11,18,19,21,29,37,5,15
2018-11-23,12,15,25,26,27,29,35,24,30
