抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字B1,数字B2
2018-11-30,11,13,15,20,27,29,35,1,7
2018-12-07,3,4,6,10,14,22,29,28,32
2018-12-14,4,5,6,8,9,22,32,13,26
2018-12-21,1,8,10,12,18,28,29,25,27
2018-12-28,2,3,11,16,23,28,36,8,24
2019-01-04,1,3,8,11,18,19,22,26,30
2019-01-11,1,6,10,13,16,26,36,28,30
2019-01-18,4,7,21,31,33,34,35,6,12
2019-01-25,4,11,12,25,27,30,33,5,19
2019-02-01,8,16,26,27,28,32,34,4,25
2019-02-08,4,7,14,17,21,34,37,10,30
2019-02-15,7,9,10,17,28,33,36,18,23
2019-02-22,6,17,23,24,27,28,31,10,18
2019-03-01,12,13,15,22,25,33,35,1,31
2019-03-08,5,8,15,24,25,32,35,20,26
2019-03-15,5,6,11,15,20,32,33,13,25
2019-03-22,1,7,13,14,16,21,22,18,34
2019-03-29,17,25,26,28,31,32,37,6,9
2019-04-05,9,11,18,24,26,27,37,30,33
2019-04-12,1,2,4,18,20,29,34,17,30
2019-04-19,9,13,16,23,28,29,30,1,20
2019-04-26,3,6,8,19,32,34,35,12,30
2019-05-03,3,11,18,26,30,33,37,28,31
2019-05-10,3,9,10,17,30,33,34,6,8
2019-05-17,7,8,14,15,16,20,29,18,19
2019-05-24,4,5,10,12,27,34,36,3,14
2019-05-31,2,6,14,23,28,31,35,19,27
2019-06-07,5,6,18,22,26,33,34,36,37
2019-06-14,15,24,27,28,29,34,35,9,25
2019-06-21,1,10,11,21,26,29,30,14,20
2019-06-28,11,14,15,21,26,34,36,23,27
2019-07-05,9,13,16,17,18,19,20,30,36
2019-07-12,4,14,17,18,21,31,33,6,20
2019-07-19,1,2,17,18,24,27,29,12,32
2019-07-26,1,3,13,14,16,30,31,2,17
2019-08-02,3,9,10,14,19,24,30,18,21
2019-08-09,3,10,19,20,26,28,30,15,25
2019-08-16,3,4,10,12,17,18,20,19,32
2019-08-23,5,7,11,12,15,18,20,19,30
2019-08-30,5,7,10,15,24,27,30,3,33
2019-09-06,1,4,10,11,16,24,34,30,32
2019-09-13,3,7,15,16,30,34,35,8,29
2019-09-20,9,10,17,18,22,25,35,13,14
2019-09-27,9,10,13,21,25,31,33,24,37
2019-10-04,5,7,10,12,14,24,35,11,33
2019-10-11,7,9,16,17,23,27,34,15,36
2019-10-18,11,15,18,20,23,25,32,9,37
2019-10-25,6,14,17,26,27,30,36,12,28
2019-11-01,4,11,17,27,29,31,36,19,24
2019-11-08,3,6,24,28,32,35,36,4,8
2019-11-15,17,19,22,29,30,31,32,11,16
2019-11-22,11,19,28,29,31,32,37,12,21
2019-11-29,6,9,10,18,28,31,32,24,35
2019-12-06,11,16,18,23,30,31,35,3,27
2019-12-13,3,6,11,13,18,20,34,25,35
2019-12-20,2,5,17,18,19,20,33,1,24
2019-12-27,4,10,11,15,18,22,34,16,32
2020-01-10,10,19,21,23,24,30,37,2,28
2020-01-17,8,13,17,19,23,25,28,5,16
2020-01-24,3,4,14,18,26,30,32,28,34
2020-01-31,11,15,22,23,24,29,33,19,34
2020-02-07,1,2,8,10,13,25,31,23,35
2020-02-14,4,6,9,10,23,27,33,14,31
2020-02-21,4,16,20,30,33,34,36,19,21
2020-02-28,5,8,12,13,14,24,30,27,35
2020-03-06,5,13,14,26,32,33,34,8,11
2020-03-13,4,7,11,17,19,26,35,1,24
2020-03-20,9,11,13,14,20,22,37,15,17
2020-03-27,5,9,16,20,29,33,35,2,8
2020-04-03,4,7,8,14,22,24,27,13,26
2020-04-10,13,15,17,22,26,34,36,3,19
2020-04-17,3,9,10,14,16,20,27,19,33
2020-04-24,1,4,13,14,16,22,35,10,23
2020-05-01,10,24,25,26,27,33,36,4,23
2020-05-08,8,14,19,20,29,30,31,7,35
2020-05-15,7,8,9,13,21,34,35,3,20
2020-05-22,1,7,9,11,15,31,34,6,33
2020-05-29,7,10,16,25,26,33,34,24,35
2020-06-05,1,3,4,8,11,21,25,12,23
2020-06-12,6,8,22,23,32,33,36,9,27
2020-06-19,2,3,17,18,22,23,31,4,30
2020-06-26,4,5,9,10,18,27,35,15,34
2020-07-03,13,15,18,19,23,27,32,34,35
2020-07-10,6,11,14,17,23,31,37,10,15
2020-07-17,6,7,10,17,25,33,36,27,32
2020-07-24,1,5,9,10,14,15,29,20,28
2020-07-31,3,8,15,22,24,29,35,18,26
2020-08-07,8,14,24,25,32,34,36,13,16
2020-08-14,4,8,25,26,27,31,32,9,22
2020-08-21,2,3,5,8,19,22,37,16,28
2020-08-28,8,11,15,22,26,28,30,10,20
2020-09-04,3,7,15,18,26,30,31,9,33
2020-09-11,4,12,14,24,29,34,35,5,15
2020-09-18,9,19,22,32,35,36,37,7,21
2020-09-25,3,7,13,22,30,32,37,14,15
2020-10-02,1,6,8,10,18,21,32,13,28
2020-10-09,1,6,11,13,18,24,27,17,23
2020-10-16,3,6,19,21,23,26,27,30,34
2020-10-23,10,23,27,32,33,35,37,24,26
2020-10-30,1,4,6,15,20,22,26,18,21
2020-11-06,7,14,15,22,27,30,31,9,32
2020-11-13,6,10,22,23,27,32,33,8,19
2020-11-20,1,2,5,20,26,29,32,8,9
2020-11-27,2,3,5,8,16,20,34,26,31
2020-12-04,4,12,13,15,21,28,37,7,20
2020-12-11,3,4,10,17,20,22,33,1,6
2020-12-18,7,15,19,20,21,33,36,4,10
2020-12-25,4,17,22,28,30,31,35,25,34
2021-01-08,4,5,9,14,18,30,35,1,33
2021-01-15,7,9,12,17,20,26,29,4,13
2021-01-22,2,6,8,12,19,20,29,5,26
2021-01-29,4,8,13,16,25,30,32,9,26
2021-02-05,3,10,16,17,24,32,36,11,29
2021-02-12,1,2,5,16,18,21,29,24,25
2021-02-19,19,21,25,26,28,30,31,9,16
2021-02-26,16,18,19,21,29,30,35,14,28
2021-03-05,13,15,16,24,30,31,37,12,33
2021-03-12,1,2,18,21,26,29,37,9,36
2021-03-19,4,11,12,21,23,27,36,9,14
2021-03-26,14,20,22,29,31,33,34,15,24
2021-04-02,3,10,16,18,19,34,35,27,36
2021-04-09,3,8,16,21,25,36,37,14,20
2021-04-16,4,8,12,13,23,32,37,16,35
2021-04-23,8,9,10,15,16,30,31,29,36
2021-04-30,4,5,13,18,23,27,32,9,11
2021-05-07,10,13,17,18,22,28,37,1,20
2021-05-14,3,11,14,21,26,29,34,22,33
2021-05-21,4,5,11,13,24,32,34,2,3
2021-05-28,9,15,18,26,28,32,37,21,36
2021-06-04,1,9,21,23,30,35,36,5,6
2021-06-11,1,7,9,11,29,31,32,2,6
2021-06-18,5,6,12,19,25,30,35,26,33
2021-06-25,2,9,14,20,22,34,35,7,24
2021-07-02,1,2,6,8,30,31,33,13,35
2021-07-09,11,13,26,27,31,33,37,9,18
2021-07-16,3,6,16,22,31,34,35,24,32
2021-07-23,6,11,14,27,30,32,35,18,24
2021-07-30,2,12,17,24,28,30,32,3,27
2021-08-06,7,11,12,17,19,20,26,2,3
2021-08-13,5,10,13,24,29,30,35,21,31
2021-08-20,14,17,20,25,32,33,36,10,34
2021-08-27,10,11,12,17,29,34,37,26,30
2021-09-03,3,5,7,11,15,17,25,13,32
2021-09-10,5,6,21,22,26,31,32,18,36
2021-09-17,8,10,14,15,23,25,26,1,11
2021-09-24,4,13,16,21,32,34,37,27,33
2021-10-01,1,3,6,9,26,29,31,14,18
2021-10-08,5,10,17,18,19,22,32,14,35
2021-10-15,15,21,22,23,27,28,37,8,25
2021-10-22,6,13,14,16,19,30,32,25,36
2021-10-29,1,5,8,26,28,32,36,23,24
2021-11-05,11,15,16,17,18,27,29,25,33
2021-11-12,4,22,25,27,28,30,33,2,3
2021-11-19,1,7,9,12,15,29,32,11,28
2021-11-26,3,5,8,13,26,30,37,25,28
2021-12-03,7,21,24,29,32,36,37,22,27
2021-12-10,2,21,26,27,32,33,34,8,9
2021-12-17,2,7,12,15,21,23,30,9,31
2021-12-24,2,15,22,25,28,33,37,10,17
2022-01-07,5,17,20,21,31,34,35,8,27
2022-01-14,2,8,10,21,24,26,35,9,13
2022-01-21,8,17,21,26,27,29,31,1,33
2022-01-28,1,5,8,15,18,26,36,33,34
2022-02-04,9,15,17,18,22,25,31,33,36
2022-02-11,7,14,19,27,31,35,36,9,33
2022-02-18,7,11,12,14,19,21,33,6,37
2022-02-25,2,4,7,8,10,20,29,14,33
2022-03-04,5,6,9,23,27,28,30,4,13
2022-03-11,2,13,19,22,32,35,37,14,33
2022-03-18,7,11,24,27,29,34,35,4,18
2022-03-25,3,7,13,16,19,24,30,6,10
2022-04-01,7,8,13,17,30,32,36,1,10
2022-04-08,1,4,5,13,27,31,35,15,22
2022-04-15,5,6,8,14,15,25,29,18,33
2022-04-22,7,8,11,13,14,26,30,31,34
2022-04-29,3,12,15,16,25,29,37,26,28
2022-05-06,1,6,8,13,16,30,33,23,28
2022-05-13,2,3,9,16,27,32,36,1,34
2022-05-20,3,5,7,8,11,19,34,17,32
2022-05-27,5,7,8,32,33,34,36,4,6
2022-06-03,6,11,21,24,28,33,37,8,27
2022-06-10,3,17,19,21,24,32,34,27,28
2022-06-17,1,2,22,24,26,31,37,12,19
2022-06-24,4,7,9,15,22,24,31,21,37
2022-07-01,2,5,9,19,25,32,37,7,29
2022-07-08,6,8,11,13,16,20,32,12,34
2022-07-15,8,11,13,18,24,30,31,21,23
2022-07-22,10,13,19,21,26,30,36,22,34
2022-07-29,1,10,13,14,16,25,27,5,21
2022-08-05,2,5,14,15,17,19,36,8,34
2022-08-12,2,11,20,23,25,36,37,29,34
2022-08-19,1,4,6,9,13,22,31,29,30
2022-08-26,4,6,17,20,22,24,26,8,9
2022-09-02,8,13,15,23,24,31,35,14,19
2022-09-09,9,10,13,15,26,34,37,22,36
2022-09-16,3,13,16,18,19,20,35,2,11
2022-09-23,3,6,7,15,25,29,31,8,14
2022-09-30,12,14,18,21,23,29,37,7,15
2022-10-07,3,14,17,21,22,32,35,6,30
2022-10-14,7,10,12,15,23,31,37,9,18
2022-10-21,5,13,14,20,21,25,31,9,36
2022-10-28,7,9,12,22,28,29,32,17,19
2022-11-04,2,16,19,20,22,33,36,6,32
2022-11-11,5,8,15,18,25,27,36,10,26
2022-11-18,18,20,24,26,27,30,33,17,19
2022-11-25,6,8,12,20,21,24,29,4,18
2022-12-02,5,9,14,18,27,32,34,6,12
2022-12-09,17,18,24,30,31,32,35,6,36
2022-12-16,1,2,4,7,12,14,31,30,33
2022-12-23,1,2,12,17,21,22,33,4,30
2022-12-30,5,7,8,13,23,26,33,31,37
2023-01-06,1,3,4,5,6,29,31,11,14
2023-01-13,9,10,12,15,16,28,36,1,23
2023-01-20,8,14,19,22,29,31,37,3,21
2023-01-27,4,19,25,26,30,32,36,1,15
2023-02-03,1,5,6,9,16,26,31,25,33
2023-02-10,10,14,22,26,27,32,33,20,37
2023-02-17,3,5,9,11,17,33,37,4,22
2023-02-24,1,9,14,24,28,36,37,16,31
2023-03-03,5,7,17,22,25,26,28,3,23
2023-03-10,1,4,10,13,15,19,37,16,20
2023-03-17,1,5,10,17,20,27,37,3,22
2023-03-24,3,15,17,22,26,27,28,6,8
2023-03-31,7,12,15,16,18,25,36,9,19
2023-04-07,3,6,10,16,26,29,31,7,24
2023-04-14,5,8,11,24,30,32,36,4,35
2023-04-21,1,2,8,14,17,21,34,20,26
2023-04-28,9,22,25,28,33,34,37,15,16
2023-05-05,21,24,25,27,30,33,36,3,31
2023-05-12,1,10,12,19,22,25,37,2,34
2023-05-19,3,17,19,27,28,32,35,2,34
2023-05-26,4,17,22,27,29,31,34,3,37
2023-06-02,11,14,17,18,21,25,31,1,27
2023-06-09,4,13,17,19,20,26,29,2,28
2023-06-16,4,8,12,25,27,32,34,15,17
2023-06-23,5,7,10,19,30,32,33,1,17
2023-06-30,7,9,13,14,22,26,29,10,21
2023-07-07,1,11,13,28,29,30,34,23,27
2023-07-14,4,6,9,11,14,28,30,10,12
2023-07-21,4,9,13,18,26,28,36,8,16
2023-07-28,2,4,9,11,14,25,37,29,32
2023-08-04,10,17,18,19,20,24,25,30,32
2023-08-11,5,11,12,19,29,32,36,9,26
2023-08-18,8,12,16,17,22,28,34,9,37
2023-08-25,2,3,9,13,14,35,37,4,17
2023-09-01,1,2,11,12,16,25,28,6,22
2023-09-08,4,6,8,18,20,27,35,24,26
2023-09-15,3,7,10,18,19,28,36,13,26
2023-09-22,6,14,23,25,27,28,34,19,37
2023-09-29,2,9,26,31,33,35,36,15,20
2023-10-06,2,11,13,18,23,24,36,17,26
2023-10-13,10,11,18,21,22,29,34,4,32
2023-10-20,3,12,16,17,27,30,34,15,37
2023-10-27,7,14,17,28,33,35,36,13,27
2023-11-03,4,11,14,18,23,25,29,17,32
2023-11-10,1,13,16,17,18,25,30,20,34
2023-11-17,13,19,20,28,33,34,35,4,32
2023-11-24,7,8,13,22,24,29,30,10,35
2023-12-01,15,16,17,22,29,32,37,23,24
2023-12-08,7,11,12,16,18,33,34,1,14
2023-12-15,2,6,13,15,16,20,33,9,28
2023-12-22,4,10,15,17,29,32,36,13,30
2023-12-29,9,12,17,19,26,32,34,11,22
2024-01-05,17,20,26,28,29,33,35,1,6
2024-01-12,3,5,7,10,17,18,35,2,21
2024-01-19,15,20,21,22,23,26,34,6,10
2024-01-26,3,4,10,13,15,18,22,2,16
2024-02-02,3,20,29,32,33,34,35,2,24
2024-02-09,6,8,19,20,27,32,37,13,33
2024-02-16,2,14,15,20,28,30,34,3,4
2024-02-23,1,4,6,14,16,19,31,12,18
2024-03-01,9,13,15,18,22,24,30,6,27
2024-03-08,3,6,9,11,19,30,36,1,33
2024-03-15,3,5,18,25,28,35,37,7,8
2024-03-22,6,8,16,18,19,34,37,15,30
2024-03-29,8,18,20,29,30,33,34,5,23
2024-04-05,12,15,17,22,30,34,35,5,9
2024-04-12,1,3,9,12,25,26,35,29,31
2024-04-19,13,26,27,29,30,34,37,2,23
2024-04-26,1,2,4,19,21,26,28,3,25
2024-05-03,11,12,18,19,23,26,31,15,25
2024-05-10,4,5,13,16,22,23,35,36,37
2024-05-17,2,12,18,20,25,28,30,9,23
2024-05-24,11,13,14,18,19,23,31,7,27
2024-05-31,11,13,19,25,29,36,37,18,30
2024-06-07,2,15,19,20,22,31,36,13,23
2024-06-14,7,19,23,33,34,35,36,5,10
2024-06-21,4,13,14,15,17,27,33,2,11
2024-06-28,3,8,10,15,18,23,37,17,24
2024-07-05,5,7,22,29,30,32,36,-3,-33
2024-07-12,1,5,8,9,20,30,37,-11,-26
2024-07-19,10,11,12,17,23,30,36,-20,-21
2024-07-26,6,11,13,14,16,27,34,-12,-25
